84CCA811B0A4
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
 2022/3/31,  14:19:40,     49.32,    -,              -,              -,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.020000,33.513672,1020.275452,    -
 2022/3/31,  14:19:45,     49.77,    -,              -,              -,        24,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.059999,33.515625,1020.223572,    -
 2022/3/31,  14:19:53,     48.73,    -,              -,              -,        18,         4,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.110001,33.531250,1020.304138,    -
 2022/3/31,  14:19:58,     49.32,    -,              -,              -,        18,         4,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.160000,33.646484,1020.269043,    -
 2022/3/31,   14:20:3,     48.73,    -,              -,              -,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.170000,33.445312,1020.229858,    -
 2022/3/31,   14:20:8,     48.29,    -,              -,              -,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.190001,33.255859,1020.270325,    -
 2022/3/31,  14:20:13,     50.06,    -,              -,              -,        18,         2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.219999,33.516602,1020.264221,    -
 2022/3/31,  14:20:19,     48.58,    -,              -,              -,        18,         2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.260000,33.284180,1020.293579,    -
 2022/3/31,  14:20:27,     49.47,    -,              -,              -,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.309999,33.142578,1020.247009,    -
 2022/3/31,  14:20:32,     49.62,    -,              -,              -,        24,         8,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.340000,33.065430,1020.267944,    -
 2022/3/31,  14:20:37,     48.14,    -,              -,              -,        24,         8,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.379999,32.866211,1020.297424,    -
 2022/3/31,  14:20:42,     49.77,    -,              -,              -,        12,         4,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.400000,33.125977,1020.294373,    -
 2022/3/31,  14:20:47,     48.14,    -,              -,              -,         6,         2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.420000,32.846680,1020.253418,    -
 2022/3/31,  14:20:52,     47.99,    -,              -,              -,         6,         2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.459999,32.715820,1020.263428,    -
 2022/3/31,   14:21:1,     48.14,    -,              -,              -,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.500000,32.795898,1020.238586,    -
 2022/3/31,   14:21:6,     47.11,    -,              -,              -,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.530001,32.922852,1020.294983,    -
