C44F33640B49
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
  2022/2/9,  14:46:49,    100.00,    -,              -,              -,      1038,       328,        41,         0,         0,         0,         7,         8,         8,         7,         8,         8, 18.150000,41.673828,1032.750488,    -
  2022/2/9,  14:46:58,    100.00,    -,              -,              -,      1134,       354,        38,         0,         0,         0,         7,         8,         8,         7,         8,         8, 18.180000,41.754883,1032.742554,    -
  2022/2/9,   14:47:3,    100.00,    -,              -,              -,      1284,       408,        66,         3,         0,         0,         8,        12,        12,         8,        12,        12, 18.200001,41.711914,1032.735840,    -
  2022/2/9,   14:47:8,    100.00,    -,              -,              -,      1047,       329,        61,         3,         0,         0,         6,         9,         9,         6,         9,         9, 18.219999,41.403320,1032.722900,    -
  2022/2/9,  14:47:13,    100.00,    -,              -,              -,       924,       288,        33,         0,         0,         0,         5,         7,         7,         5,         7,         7, 18.240000,41.637695,1032.718018,    -
  2022/2/9,  14:47:18,    100.00,    -,              -,              -,      1182,       363,        49,         3,         0,         0,         6,        10,        10,         6,        10,        10, 18.260000,41.352539,1032.708862,    -
  2022/2/9,  14:47:23,    100.00,    -,              -,              -,      1149,       364,        45,         6,         3,         0,         6,         9,        11,         6,         9,        11, 18.280001,41.665039,1032.709717,    -
  2022/2/9,  14:47:31,    100.00,    -,              -,              -,       948,       296,        42,         6,         3,         0,         6,         8,        10,         6,         8,        10, 18.309999,41.578125,1032.696045,    -
  2022/2/9,  14:47:36,    100.00,    -,              -,              -,       750,       234,        35,         3,         3,         0,         3,         4,         6,         3,         4,         6, 18.330000,41.513672,1032.684814,    -
  2022/2/9,  14:47:41,    100.00,    -,              -,              -,       915,       269,        18,         0,         0,         0,         5,         5,         5,         5,         5,         5, 18.340000,41.514648,1032.686401,    -
  2022/2/9,  14:47:46,    100.00,    -,              -,              -,      1116,       336,        40,         3,         3,         3,         7,         8,        11,         7,         8,        11, 18.360001,41.250000,1032.676392,    -
  2022/2/9,  14:47:51,    100.00,    -,              -,              -,      1209,       367,        29,         3,         3,         3,         6,         8,        10,         6,         8,        10, 18.379999,40.941406,1032.680542,    -
  2022/2/9,  14:47:57,    100.00,    -,              -,              -,      1269,       399,        39,         3,         3,         3,         7,         9,        12,         7,         9,        12, 18.400000,41.397461,1032.679321,    -
  2022/2/9,   14:48:5,    100.00,    -,              -,              -,      1209,       383,        57,         6,         0,         0,         8,        12,        12,         8,        12,        12, 18.420000,40.912109,1032.677368,    -
  2022/2/9,  14:48:10,    100.00,    -,              -,              -,      1251,       398,        91,        19,         0,         0,         8,        16,        16,         8,        16,        16, 18.440001,40.980469,1032.679565,    -
  2022/2/9,  14:48:15,    100.00,    -,              -,              -,      1320,       420,        87,        16,         0,         0,         8,        16,        16,         8,        16,        16, 18.459999,40.714844,1032.671753,    -
  2022/2/9,  14:48:20,    100.00,    -,              -,              -,      1308,       412,        79,         9,         0,         0,         8,        14,        14,         8,        14,        14, 18.480000,41.338867,1032.668579,    -
  2022/2/9,  14:48:25,    100.00,    -,              -,              -,      1275,       397,        75,         6,         0,         0,         9,        13,        13,         9,        13,        13, 18.500000,41.340820,1032.671997,    -
  2022/2/9,  14:48:30,    100.00,    -,              -,              -,      1413,       440,        70,         3,         0,         0,        10,        13,        13,        10,        13,        13, 18.520000,41.142578,1032.660767,    -
  2022/2/9,  14:48:39,    100.00,    -,              -,              -,      1323,       411,        47,         0,         0,         0,         9,        10,        10,         9,        10,        10, 18.549999,40.702148,1032.650879,    -
  2022/2/9,  14:48:44,    100.00,    -,              -,              -,      1404,       427,        32,         0,         0,         0,         9,         9,         9,         9,         9,         9, 18.570000,40.947266,1032.645996,    -
  2022/2/9,  14:48:49,    100.00,    -,              -,              -,      1158,       356,        28,         0,         0,         0,         7,         7,         7,         7,         7,         7, 18.580000,41.115234,1032.636597,    -
  2022/2/9,  14:48:54,    100.00,    -,              -,              -,      1227,       366,        29,         0,         0,         0,         7,         8,         8,         7,         8,         8, 18.600000,40.362305,1032.636719,    -
  2022/2/9,  14:48:59,    100.00,    -,              -,              -,      1227,       378,        32,         0,         0,         0,         7,         8,         8,         7,         8,         8, 18.610001,40.485352,1032.638672,    -
  2022/2/9,   14:49:4,    100.00,    -,              -,              -,      1347,       410,        60,         3,         3,         0,         8,        11,        13,         8,        11,        13, 18.620001,40.752930,1032.631348,    -
  2022/3/2,  10:58:28,    100.00,    -,              -,              -,        51,        17,         3,         3,         3,         3,         0,         0,         2,         0,         0,         2, 19.290001,48.531250,1006.904541,    -
  2022/3/2,  10:58:33,    100.00,    -,              -,              -,        51,        17,         3,         3,         3,         3,         0,         0,         2,         0,         0,         2, 19.370001,47.928711,1006.886475,    -
  2022/3/2,  10:58:38,    100.00,    -,              -,              -,        51,        13,         3,         3,         3,         3,         0,         0,         2,         0,         0,         2, 19.430000,52.681641,1006.883423,    -
  2022/3/2,  12:30:35,    100.00,    -,              -,              -,        33,        11,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.730000,43.710938,1002.316895,    -
  2022/3/2,  12:30:40,    100.00,    -,              -,              -,        42,        11,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.780001,43.303711,1002.306396,    -
